artist_name,artist_id,artist_popularity,artist_genres
Gopi Sundar,4xlqU0G9EloUPHL1qlmWY6,61,"['filmi', 'tamil pop', 'tollywood']"
Goopy,4F4XWiGTifyL39JD8qrslm,34,[]
Gobi,48Bvl2CFZxMMHH2XmIjN98,36,[]
Goran Bregović,491v9k5NTGBGanwqPNSkuS,51,"['balkan beats', 'balkan brass', 'sevdah']"
Goran Bregovic And His Wedding And Funeral Orchestra,05wwAPl4O8BOnhQsT4C9jC,27,['balkan beats']
Selah Sol,3ZnFOxqZB6PMOGElerc68j,41,[]
Salish Matter,4CB8mmEbDXVxkzNpJgkj65,39,['social media pop']
SELAH,0RJ2o969ES08J9cMAhzPiD,51,[]
Goreshit,2UyOnfaE8nWXKPwYQyp2La,52,"['chill breakcore', 'glitchbreak']"
Gorcilovski,0tjpUhTUGpl8VclQAYvyup,28,[]
Goratie,3WuT8leyL0ikW55vAra4rD,27,[]
Conquering Canada,1jjgEJr6tSXsUUw66gRImm,11,[]
Conquering Lion,5ihLdJPtkczDQGJitNiWcG,27,['ragga jungle']
Conquering Sound,4qxmXVrC2nP4TerOI7VTsY,10,[]
Gord Bamford,1w9VjfHGE5qPLJQy3dKups,45,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']"
The Cambridge Singers,0daVGEYMVnQZ3NZIpIuFWn,51,"['british choir', 'cambridge choir', 'chamber choir', 'choral']"
Stafford Beats,4qqIES4SbIokB88LtwFGyr,36,[]
Ryan Oakes,4l43uAIHyF5VzgonMKVkg7,58,"['pop punk', 'pop rap']"
Ryan Adams,2qc41rNTtdLK0tV3mJn2Pm,60,"['alternative country', 'neo mellow', 'new americana', 'pop rock', 'roots rock', 'singer-songwriter', 'stomp and holler']"
Ryan,1fe7Tefs9PHQdILRR6gKoa,51,[]
Gilberto Santa Rosa,27vNK840zYq6IfDijHPsv1,70,"['salsa', 'salsa puertorriquena', 'tropical']"
Gilbert O'Sullivan,4HVmeVTQBgvTuvjB1JYwaf,59,"['adult standards', 'bubblegum pop', 'classic rock', 'classic uk pop', 'folk rock', 'mellow gold', 'soft rock']"
Gilberto Gil,7oEkUINVIj1Nr3Wnj8tzqr,66,"['bossa nova', 'mpb', 'samba', 'tropicalia', 'violao']"
Gordon Goodwin's Big Phat Band,5CyMmYYHMIfK9YYcKLXzO1,38,"['big band', 'jazz orchestra', 'modern big band']"
Gordon Goodwin's Little Phat Band,6mhEV58unuCge6xTYON117,3,[]
Goodwinispeaktruth,3OvLzGtbPiNseafSsbGJOf,13,[]
Gordon John,3LFdp3skFHzKxKTGk0LzII,2,[]
Gordon Jones Jesus,5Hb7cWs04wnKyz5lsRadYl,2,[]
Stromae,5j4HeCoUlzhfWtjAfM1acR,75,"['belgian pop', 'g-house']"
STOMACH BOOK,079cEjjSpv5dOLH5xsGdvN,36,[]
Ström,0GrHUOaxUA1EUn8UlzeHBS,43,['background music']
Lightfoot,4hKUEllZNA2iRQ8J5P1lpL,37,['boston electronic']
Little Foot,2Xhz94NKy09pXqHpHrYwvf,32,[]
Little Foot,55HmugLcdhmDg6XgceLQr1,35,[]
Goresorrow,0NcweeKx0X8zIuBEAkuY9g,12,[]
Gore and Carnage,17iNOJcVt7aZW0XhoIfHON,19,"['mexican metal', 'pornogrind']"
GORE,6n4zFdYsUBAlCCzToQlY9D,8,[]
Gorecunt,5jpeDqPKhLpSQxfwluq8lQ,9,[]
Gore Tech,0WeOM47NLPddvcEhOFCdy1,9,['cyberpunk']
Gore Quaffer,5y3cfnx7rzV5WzsVlNc0yA,3,[]
Remy Boyz,2s0yxtiHiyGe6CY4mbDYFi,59,[]
remy,4DsVKs4W72RTKOfD3CtTaw,48,['modern indie pop']
remy,4JMR34sJ8DghoiLOuIllCZ,43,[]
Goretex,5ybthCcxHUMyDVcJEGVD0f,29,[]
Goretex of Non-Phixion,13e42tyVuEpkHj0feN39KT,9,[]
Goretex,78NJz1bW9oUqJoCct3xzp2,10,[]
WARGASM (UK),1NRudBLaT84LXxfsYdFMhB,48,[]
Gorgasm,2Pq0WuEVUvv1G7s7S4XNVs,31,"['brutal death metal', 'death metal', 'goregrind', 'korean metal', 'slam death metal', 'technical death metal']"
Gormay,4E7eXSKf1W2QfeXqK0OY6b,31,[]
g0r3c0r3,7kDbLquCet7fR3Mq7JEPUp,47,"['pink noise', 'scenecore']"
Gorerotted,4v7Ir81pDbE0UyLBwUdX83,17,"['british death metal', 'british grindcore', 'brutal death metal', 'deathgrind', 'goregrind', 'grindcore']"
Gorepot,4QE9WGJqbObECIt2YHvPOY,26,['taiwan metal']
Gnawa Diffusion,4s0srRj9YXjM8J0TK2QVzP,35,"['gnawa', 'rai', 'reggae maghreb']"
Innov Gnawa,6FUsQ3dkSd27KwQ1iCugSV,38,['gnawa']
G.NA,3hzcooxMtbApMTvvn6XKVA,42,['k-pop']
Gnomo,22aJchHkg7Dxd1KtcI660g,18,[]
The Gloom In The Corner,4dJTtqdQ6GlgNr8TNkzh65,46,"['australian post-hardcore', 'metalcore', 'metallic hardcore', 'nu-metalcore']"
FOMO,6K4rA9ocjtIaTOEVZ4N6dX,46,[]
gidro_pan1c,6aOeQgo27RGPYjsBpPugDK,32,[]
Gidropony,5E0lYvU8CIrIlfIE6O9Fml,17,"['chiptune', 'nintendocore']"
Gidor,3ufzB313xi18BaiDMB4cEu,12,[]
Gloira Gaynor,7gkKow26LNZbwMervicqnn,2,[]
Goomp,0osA8WHktzmv6QnWfbUyha,55,[]
Gnomo,22aJchHkg7Dxd1KtcI660g,18,[]
GØMØ,0sZPX1f1Ty11lTB6mgUPWT,19,[]
Gnarls Barkley,5SbkVQYYzlw1kte75QIabH,66,"['atl hip hop', 'neo soul']"
Barkley,2Qq2om7IMPNoVg8bMfz9II,30,['deep tropical house']
Gnarly,6elyvFTzyNfugmSxs8brP4,38,[]
